student_id,major,age,gender,prior_gpa,credits_failed_pct,financial_aid,tuition_status,graduated,logins_q1,logins_q2,logins_q3,time_on_materials_min_q1,time_on_materials_min_q2,time_on_materials_min_q3,forum_posts_q1,forum_posts_q2,forum_posts_q3,login_velocity,time_velocity,total_logins,total_time,total_forum_posts,is_ghost,early_engagement_academic_friction,total_login_academic_friction,total_time_academic_friction
33822,Business,17.0,Male,3.02,0.198629613073535,Federal Grant,Paid,1,3.0,3.0,13.0,95.0,85.0,216.0,2.0,1.0,0.0,10.0,121.0,19.0,396.0,3.0,0,0.04965740326838375,0.00993148065367675,0.000500326481293539
54743,Computer Science,25.0,Female,3.19,0.2691397520797781,Student Loan,Paid,1,3.0,4.0,2.0,105.0,73.0,77.0,2.0,1.0,1.0,-1.0,-28.0,9.0,255.0,4.0,0,0.06728493801994452,0.02691397520797781,0.0010513271565616331
84337,Mathematics,28.0,Non-binary,3.29,0.4304202693243987,Federal Grant,Paid,1,5.0,6.0,5.0,160.0,169.0,152.0,2.0,1.0,2.0,0.0,-8.0,16.0,481.0,5.0,0,0.07173671155406645,0.025318839372023453,0.0008929881106315325
71567,Computer Science,21.0,Female,3.12,0.2051254002711166,Private Scholarship,Paid,1,6.0,3.0,3.0,167.0,91.0,64.0,4.0,1.0,0.0,-3.0,-103.0,12.0,322.0,5.0,0,0.02930362861015951,0.015778876943932044,0.0006350631587341071
39660,Mathematics,18.0,Male,2.74,0.1599464322459789,Private Scholarship,Paid,1,6.0,7.0,7.0,168.0,162.0,196.0,0.0,3.0,3.0,1.0,28.0,20.0,526.0,6.0,0,0.022849490320854128,0.007616496773618043,0.0003035036665009087
30475,Business,22.0,Female,3.62,0.0289342646259062,No Aid,Deferred,1,6.0,7.0,9.0,201.0,168.0,209.0,2.0,0.0,2.0,3.0,8.0,22.0,578.0,4.0,0,0.004133466375129457,0.0012580115054741825,4.997282318809361e-05
57942,Arts,23.0,Male,2.87,0.0572120117951264,Private Scholarship,Paid,1,2.0,4.0,9.0,73.0,127.0,214.0,1.0,2.0,6.0,7.0,141.0,15.0,414.0,9.0,0,0.01907067059837547,0.0035757507371954,0.00013786026938584676
96434,Computer Science,23.0,Male,2.47,0.009743872988828,No Aid,Delinquent,1,9.0,4.0,7.0,176.0,97.0,126.0,1.0,1.0,1.0,-2.0,-50.0,20.0,399.0,3.0,0,0.0009743872988828,0.00046399395184895236,2.435968247207e-05
92391,Mathematics,21.0,Female,2.02,0.3629851327199607,Private Scholarship,Paid,1,11.0,5.0,4.0,223.0,90.0,87.0,1.0,0.0,0.0,-7.0,-136.0,20.0,400.0,1.0,0,0.030248761059996725,0.017285006319998127,0.0009051998322193533
28093,Mathematics,28.0,Male,2.57,0.1335851055854446,Private Scholarship,Paid,1,5.0,13.0,5.0,170.0,202.0,101.0,2.0,2.0,1.0,0.0,-69.0,23.0,473.0,5.0,0,0.022264184264240764,0.005566046066060191,0.00028182511726887043
44534,Computer Science,41.0,Prefer not to say,2.21,0.1887710944247934,Private Scholarship,Delinquent,1,6.0,5.0,9.0,143.0,153.0,210.0,0.0,2.0,2.0,3.0,67.0,20.0,506.0,4.0,0,0.026967299203541913,0.008989099734513971,0.00037232957480235385
34954,Arts,22.0,Prefer not to say,3.0,0.1690071105365289,Private Scholarship,Paid,1,5.0,9.0,13.0,98.0,212.0,239.0,1.0,3.0,2.0,8.0,141.0,27.0,549.0,6.0,0,0.028167851756088148,0.00603596823344746,0.00030728565552096165
20365,Arts,19.0,Female,2.76,0.0489661829769085,No Aid,Paid,1,13.0,9.0,3.0,228.0,165.0,101.0,2.0,0.0,1.0,-10.0,-127.0,25.0,494.0,3.0,0,0.0034975844983506075,0.0018833147298810962,9.892158177153233e-05
50549,Computer Science,21.0,Male,2.5,0.2334196902378227,Private Scholarship,Deferred,1,3.0,6.0,3.0,71.0,174.0,98.0,1.0,0.0,1.0,0.0,27.0,12.0,343.0,2.0,0,0.05835492255945567,0.017955360787524823,0.0006785456111564613
21746,Computer Science,21.0,Male,2.26,0.2425566946305575,Student Loan,Paid,1,4.0,16.0,3.0,104.0,241.0,86.0,0.0,1.0,2.0,-1.0,-18.0,23.0,431.0,3.0,0,0.0485113389261115,0.010106528942939896,0.0005614738301633276
84184,Computer Science,19.0,Female,3.61,0.233283498177814,Private Scholarship,Paid,1,8.0,14.0,8.0,212.0,236.0,242.0,0.0,3.0,2.0,0.0,30.0,30.0,690.0,5.0,0,0.025920388686423778,0.007525274134768193,0.000337602747001178
36135,Computer Science,24.0,Male,3.97,0.6351427215037564,Private Scholarship,Paid,0,3.0,10.0,10.0,69.0,196.0,213.0,0.0,2.0,1.0,7.0,144.0,23.0,478.0,3.0,0,0.1587856803759391,0.026464280062656515,0.0013259764540788233
71093,Mathematics,20.0,Female,3.72,0.0549682122288867,Federal Grant,Paid,1,9.0,6.0,6.0,185.0,123.0,193.0,1.0,3.0,2.0,-3.0,8.0,21.0,501.0,6.0,0,0.00549682122288867,0.0024985551013130317,0.00010949843073483406
82480,Computer Science,21.0,Male,3.57,0.1655941266943212,Private Scholarship,Delinquent,1,7.0,8.0,2.0,200.0,170.0,73.0,3.0,3.0,0.0,-5.0,-127.0,17.0,443.0,6.0,0,0.02069926583679015,0.009199673705240066,0.0003729597448070297
24664,Computer Science,24.0,Male,3.06,0.0906550156156724,Federal Grant,Deferred,1,9.0,9.0,10.0,222.0,162.0,202.0,1.0,0.0,1.0,1.0,-20.0,28.0,586.0,2.0,0,0.009065501561567239,0.0031260350212300825,0.00015443784602329198
23943,Computer Science,21.0,Female,3.67,0.075651719021209,Student Loan,Deferred,1,3.0,8.0,6.0,56.0,230.0,116.0,0.0,5.0,2.0,3.0,60.0,17.0,402.0,7.0,0,0.01891292975530225,0.0042028732789560555,0.000187721387149402
15711,Computer Science,24.0,Male,3.07,0.2312066439301764,Federal Grant,Paid,1,9.0,4.0,9.0,242.0,103.0,182.0,1.0,2.0,4.0,0.0,-60.0,22.0,527.0,7.0,0,0.02312066439301764,0.010052462779572887,0.00043789137107987954
92139,Business,20.0,Female,2.64,0.1030325979744608,Private Scholarship,Paid,1,8.0,2.0,7.0,195.0,59.0,183.0,0.0,0.0,3.0,-1.0,-12.0,17.0,437.0,3.0,0,0.011448066441606754,0.005724033220803377,0.00023523424195082373
37753,Computer Science,18.0,Female,2.45,0.225399199877439,Private Scholarship,Paid,1,8.0,3.0,5.0,207.0,93.0,90.0,1.0,0.0,1.0,-3.0,-117.0,16.0,390.0,2.0,0,0.025044355541937666,0.013258776463378766,0.0005764685418860332
14199,Mathematics,22.0,Male,2.43,0.0074265141384364,Student Loan,Delinquent,1,9.0,6.0,7.0,186.0,111.0,230.0,2.0,0.0,2.0,-2.0,44.0,22.0,527.0,4.0,0,0.00074265141384364,0.0003228919190624522,1.4065367686432575e-05
66910,Arts,24.0,Male,2.91,0.2161265324912026,Private Scholarship,Paid,1,7.0,3.0,4.0,168.0,57.0,96.0,1.0,0.0,3.0,-3.0,-72.0,14.0,321.0,4.0,0,0.027015816561400324,0.014408435499413506,0.000671200411463362
48001,Computer Science,22.0,Male,3.28,0.3949082404426122,No Aid,Deferred,0,2.0,5.0,8.0,51.0,127.0,136.0,1.0,3.0,1.0,6.0,85.0,15.0,314.0,5.0,0,0.1316360801475374,0.024681765027663262,0.0012536769537860705
33561,Arts,22.0,Female,2.3,0.1768482760041459,No Aid,Paid,1,9.0,7.0,6.0,156.0,200.0,162.0,1.0,2.0,3.0,-3.0,6.0,22.0,518.0,6.0,0,0.01768482760041459,0.007689055478441126,0.0003407481233220538
34724,Business,22.0,Female,2.02,0.2074709287200998,Federal Grant,Paid,1,2.0,6.0,5.0,56.0,153.0,78.0,1.0,1.0,1.0,3.0,22.0,13.0,287.0,3.0,0,0.06915697624003327,0.0148193520514357,0.0007203851691670132
39261,Business,32.0,Female,2.05,0.1240036750264434,Federal Grant,Paid,1,5.0,7.0,5.0,129.0,209.0,113.0,1.0,3.0,0.0,0.0,-16.0,17.0,451.0,4.0,0,0.0206672791710739,0.006889093057024633,0.0002743444137753173
19146,Computer Science,17.0,Male,2.62,0.0250295234888555,No Aid,Deferred,1,5.0,6.0,8.0,131.0,180.0,137.0,2.0,3.0,1.0,3.0,6.0,19.0,448.0,6.0,0,0.004171587248142583,0.001251476174442775,5.574504117785189e-05
99082,Computer Science,22.0,Female,3.44,0.1911051404298135,Private Scholarship,Paid,1,5.0,5.0,4.0,83.0,125.0,113.0,0.0,1.0,1.0,-1.0,30.0,14.0,321.0,2.0,0,0.03185085673830225,0.0127403426953209,0.000593494224937309
36217,Computer Science,21.0,Female,2.01,0.0983727720390365,No Aid,Deferred,1,10.0,6.0,14.0,173.0,150.0,224.0,5.0,1.0,6.0,4.0,51.0,30.0,547.0,12.0,0,0.008942979276276046,0.0031733152270656934,0.00017951235773546806
36969,Computer Science,25.0,Male,2.93,0.0030532428688686,Federal Grant,Paid,1,3.0,7.0,5.0,98.0,208.0,148.0,3.0,0.0,2.0,2.0,50.0,15.0,454.0,5.0,0,0.00076331071721715,0.0001908276793042875,6.710423887623297e-06
50858,Computer Science,27.0,Male,2.59,0.3071544818132496,Student Loan,Paid,1,7.0,5.0,5.0,130.0,122.0,130.0,0.0,1.0,2.0,-2.0,0.0,17.0,382.0,3.0,0,0.0383943102266562,0.017064137878513866,0.0008019699264053514
43480,Business,31.0,Male,3.83,0.1979962139234581,Student Loan,Paid,1,4.0,5.0,8.0,101.0,141.0,222.0,2.0,0.0,1.0,4.0,121.0,17.0,464.0,3.0,0,0.03959924278469162,0.010999789662414338,0.0004257983095128131
34199,Mathematics,19.0,Female,3.92,0.6522357876471715,Private Scholarship,Paid,0,14.0,3.0,2.0,234.0,83.0,58.0,3.0,0.0,1.0,-12.0,-176.0,19.0,375.0,4.0,0,0.04348238584314477,0.03261178938235858,0.0017346696479977966
82953,Mathematics,29.0,Male,2.8,0.1435574118273324,Private Scholarship,Paid,1,10.0,5.0,12.0,190.0,121.0,206.0,2.0,1.0,4.0,2.0,16.0,27.0,517.0,7.0,0,0.013050673802484763,0.0051270504224047286,0.00027713786067052584
24943,Computer Science,22.0,Male,3.95,0.4174907249972785,Student Loan,Paid,0,5.0,5.0,6.0,83.0,123.0,124.0,0.0,1.0,0.0,1.0,41.0,16.0,330.0,1.0,0,0.06958178749954642,0.024558277941016383,0.0012613012839796933
38112,Arts,22.0,Prefer not to say,3.94,0.0802227991422162,Student Loan,Paid,1,8.0,4.0,6.0,175.0,83.0,115.0,2.0,0.0,0.0,-2.0,-60.0,18.0,373.0,2.0,0,0.008913644349135132,0.004222252586432431,0.00021449946294710212
57667,Computer Science,28.0,Female,3.15,0.1353974320348521,Private Scholarship,Deferred,1,4.0,5.0,8.0,109.0,130.0,217.0,0.0,3.0,2.0,4.0,108.0,17.0,456.0,5.0,0,0.027079486406970422,0.007522079557491784,0.0002962744683475976
70754,Computer Science,31.0,Male,2.77,0.1393393218151873,Private Scholarship,Paid,1,5.0,7.0,7.0,154.0,133.0,113.0,3.0,2.0,3.0,2.0,-41.0,19.0,400.0,8.0,0,0.023223220302531215,0.006966966090759365,0.0003474796055241578
71933,Mathematics,27.0,Male,2.21,0.0644191690343649,Federal Grant,Paid,1,10.0,6.0,4.0,209.0,130.0,99.0,2.0,2.0,3.0,-6.0,-110.0,20.0,438.0,7.0,0,0.005856288094033172,0.0030675794778269,0.00014674070395071732
14645,Computer Science,33.0,Female,3.11,0.0915351411978594,Private Scholarship,Paid,1,5.0,7.0,6.0,95.0,147.0,118.0,0.0,2.0,2.0,1.0,23.0,18.0,360.0,4.0,0,0.015255856866309899,0.004817639010413652,0.000253559947916508
21436,Computer Science,23.0,Male,3.67,0.0663821976967333,Federal Grant,Paid,1,10.0,10.0,3.0,210.0,216.0,61.0,0.0,2.0,1.0,-7.0,-149.0,23.0,487.0,3.0,0,0.006034745245157572,0.0027659249040305543,0.00013602909364084692
21863,Mathematics,23.0,Female,2.79,0.4467771068057053,No Aid,Paid,0,7.0,2.0,5.0,116.0,63.0,120.0,1.0,0.0,1.0,-2.0,4.0,14.0,299.0,2.0,0,0.055847138350713164,0.029785140453713686,0.0014892570226856844
85421,Computer Science,33.0,Female,3.01,0.0033374598966122,Private Scholarship,Paid,1,12.0,12.0,6.0,232.0,209.0,199.0,5.0,0.0,0.0,-6.0,-33.0,30.0,640.0,5.0,0,0.0002567276843547846,0.00010765999666490968,5.206645704543213e-06
82950,Computer Science,22.0,Male,2.8,0.201372415493955,Student Loan,Deferred,1,2.0,15.0,5.0,74.0,244.0,95.0,0.0,2.0,1.0,3.0,21.0,22.0,413.0,3.0,0,0.067124138497985,0.008755322412780651,0.0004864068007100362
55882,Arts,20.0,Female,3.41,0.0309076218004733,No Aid,Paid,1,14.0,8.0,12.0,221.0,121.0,193.0,2.0,2.0,4.0,-2.0,-28.0,34.0,535.0,8.0,0,0.0020605081200315532,0.0008830749085849514,5.7663473508345706e-05
96473,Computer Science,21.0,Prefer not to say,3.1,0.1935061140776993,No Aid,Deferred,1,14.0,7.0,9.0,226.0,146.0,175.0,4.0,2.0,2.0,-5.0,-51.0,30.0,547.0,8.0,0,0.012900407605179954,0.006242132712183848,0.0003531133468571155
59196,Computer Science,21.0,Male,3.03,0.2892197627978415,Private Scholarship,Paid,1,6.0,5.0,4.0,172.0,89.0,100.0,0.0,1.0,1.0,-2.0,-72.0,15.0,361.0,2.0,0,0.04131710897112022,0.018076235174865094,0.0007989496209885124
44516,Computer Science,20.0,Non-binary,2.44,0.0121948312832871,No Aid,Delinquent,1,9.0,7.0,5.0,213.0,144.0,138.0,1.0,4.0,1.0,-4.0,-75.0,21.0,495.0,6.0,0,0.00121948312832871,0.0005543105128766863,2.458635339372399e-05
31608,Computer Science,20.0,Male,3.19,0.0054628394501964,Student Loan,Deferred,1,4.0,7.0,4.0,108.0,177.0,111.0,0.0,1.0,0.0,0.0,3.0,15.0,396.0,1.0,0,0.00109256789003928,0.000341427465637275,1.37603008821068e-05
94681,Computer Science,17.0,Female,2.99,0.0147965526072505,Student Loan,Paid,1,4.0,9.0,8.0,124.0,151.0,216.0,1.0,2.0,2.0,4.0,92.0,21.0,491.0,5.0,0,0.0029593105214501,0.0006725705730568409,3.0074293917175812e-05
81962,Business,21.0,Female,3.4,0.2878911924826849,Private Scholarship,Paid,0,6.0,10.0,7.0,135.0,246.0,118.0,2.0,2.0,1.0,1.0,-17.0,23.0,499.0,5.0,0,0.04112731321181213,0.011995466353445205,0.0005757823849653699
47557,Business,23.0,Male,3.26,0.0918549826277772,Private Scholarship,Deferred,1,10.0,5.0,2.0,230.0,105.0,78.0,2.0,2.0,0.0,-8.0,-152.0,17.0,413.0,4.0,0,0.008350452966161563,0.005103054590432067,0.0002218719387144377
48317,Computer Science,35.0,Male,2.59,0.0543237947873023,Private Scholarship,Deferred,1,4.0,5.0,4.0,104.0,147.0,119.0,2.0,3.0,1.0,0.0,15.0,13.0,370.0,6.0,0,0.01086475895746046,0.0038802710562358786,0.0001464253228768256
74520,Computer Science,17.0,Male,3.26,0.0966103759838471,Private Scholarship,Delinquent,1,7.0,4.0,8.0,216.0,120.0,233.0,5.0,0.0,2.0,1.0,17.0,19.0,569.0,7.0,0,0.012076296997980887,0.004830518799192355,0.00016949188769095982
95590,Computer Science,33.0,Male,3.53,0.1527241951433661,Student Loan,Deferred,1,9.0,6.0,10.0,146.0,128.0,208.0,3.0,3.0,3.0,1.0,62.0,25.0,482.0,9.0,0,0.01527241951433661,0.005874007505514081,0.00031619916178750746
31396,Business,24.0,Female,3.3,0.0853538792904658,Private Scholarship,Delinquent,1,6.0,3.0,3.0,112.0,74.0,57.0,1.0,0.0,2.0,-3.0,-55.0,12.0,243.0,3.0,0,0.0121934113272094,0.006565683022343523,0.0003498109806986303
84154,Computer Science,18.0,Male,3.0,0.4457134991523096,Federal Grant,Paid,1,9.0,4.0,4.0,216.0,87.0,118.0,0.0,0.0,1.0,-5.0,-98.0,17.0,421.0,1.0,0,0.044571349915230964,0.0247618610640172,0.0010561931259533404
69362,Computer Science,36.0,Female,3.32,0.0936071205032995,Student Loan,Deferred,1,2.0,6.0,2.0,52.0,118.0,71.0,1.0,2.0,0.0,0.0,19.0,10.0,241.0,3.0,0,0.031202373501099834,0.008509738227572682,0.00038680628307148553
98559,Mathematics,24.0,Male,2.95,0.3085420885089903,Federal Grant,Paid,1,3.0,9.0,12.0,109.0,245.0,230.0,1.0,7.0,2.0,9.0,121.0,24.0,584.0,10.0,0,0.07713552212724757,0.012341683540359612,0.0005274223735196415
78101,Arts,25.0,Male,2.68,0.0573420296593824,Private Scholarship,Delinquent,1,13.0,10.0,3.0,223.0,211.0,100.0,4.0,2.0,1.0,-10.0,-123.0,26.0,534.0,7.0,0,0.004095859261384457,0.002123778876273422,0.00010718136384931289
71227,Mathematics,17.0,Male,3.24,0.0734667632976295,Student Loan,Paid,1,4.0,11.0,8.0,84.0,215.0,223.0,1.0,1.0,4.0,4.0,139.0,23.0,522.0,6.0,0,0.014693352659525899,0.003061115137401229,0.00014047182274881355
46442,Computer Science,24.0,Female,2.04,0.1841041729718605,Private Scholarship,Paid,1,6.0,5.0,7.0,167.0,75.0,154.0,3.0,0.0,1.0,1.0,-13.0,18.0,396.0,4.0,0,0.02630059613883721,0.009689693314308447,0.0004637384709618652
14891,Mathematics,22.0,Male,2.19,0.0664987480988653,Federal Grant,Paid,1,4.0,4.0,8.0,104.0,99.0,212.0,0.0,0.0,5.0,4.0,108.0,16.0,415.0,5.0,0,0.01329974961977306,0.003911691064639135,0.00015985275985304159
69373,Arts,20.0,Male,2.37,0.4835110475472992,Federal Grant,Paid,0,3.0,12.0,10.0,54.0,219.0,239.0,0.0,1.0,3.0,7.0,185.0,25.0,512.0,4.0,0,0.1208777618868248,0.0185965787518192,0.0009425166618855735
21550,Arts,22.0,Female,3.96,0.0470897305247562,Student Loan,Deferred,1,3.0,2.0,12.0,85.0,72.0,216.0,0.0,1.0,1.0,9.0,131.0,17.0,373.0,2.0,0,0.01177243263118905,0.0026160961402642334,0.00012590837038704866
84436,Computer Science,21.0,Female,2.57,0.0393609814505058,Student Loan,Paid,1,3.0,11.0,4.0,89.0,235.0,95.0,2.0,4.0,3.0,1.0,6.0,18.0,419.0,9.0,0,0.00984024536262645,0.0020716306026582003,9.371662250120429e-05
72610,Computer Science,17.0,Male,3.0,0.1232461744280017,No Aid,Deferred,1,8.0,3.0,3.0,161.0,100.0,66.0,1.0,1.0,0.0,-5.0,-95.0,14.0,327.0,2.0,0,0.013694019380889079,0.008216411628533447,0.0003757505317926881
85845,Computer Science,18.0,Female,3.14,0.3853289245808046,No Aid,Paid,0,9.0,7.0,7.0,167.0,207.0,190.0,3.0,1.0,1.0,-2.0,23.0,23.0,564.0,5.0,0,0.03853289245808046,0.016055371857533526,0.0006819980966031939
42289,Business,19.0,Male,2.03,0.2135616289377484,Private Scholarship,Paid,1,4.0,12.0,4.0,88.0,246.0,93.0,0.0,5.0,1.0,0.0,5.0,20.0,427.0,6.0,0,0.04271232578754968,0.01016960137798802,0.0004989757685461411
35400,Business,24.0,Female,2.15,0.1941091016607059,Private Scholarship,Deferred,1,5.0,6.0,10.0,151.0,127.0,214.0,1.0,0.0,1.0,5.0,63.0,21.0,492.0,2.0,0,0.03235151694345099,0.008823140984577541,0.0003937304293320607
95846,Computer Science,23.0,Female,2.31,0.1165189676352651,No Aid,Paid,1,4.0,6.0,5.0,99.0,114.0,113.0,0.0,0.0,1.0,1.0,14.0,15.0,326.0,1.0,0,0.023303793527053022,0.007282435477204069,0.0003563271181506578
80958,Mathematics,22.0,Male,2.44,0.1371405554791425,Federal Grant,Deferred,1,12.0,3.0,5.0,189.0,85.0,163.0,2.0,0.0,3.0,-7.0,-26.0,20.0,437.0,5.0,0,0.010549273498395576,0.006530502641863929,0.00031310629104827056
49225,Mathematics,21.0,Female,2.15,0.1195012491749272,No Aid,Paid,1,4.0,7.0,12.0,86.0,146.0,245.0,1.0,1.0,2.0,8.0,159.0,23.0,477.0,4.0,0,0.02390024983498544,0.004979218715621967,0.0002500026133366678
63869,Computer Science,19.0,Female,3.3,0.0365413529956637,No Aid,Delinquent,1,7.0,6.0,5.0,197.0,127.0,102.0,1.0,0.0,2.0,-2.0,-95.0,18.0,426.0,3.0,0,0.004567669124457963,0.0019232291050349317,8.5576939099915e-05
91234,Computer Science,21.0,Female,2.24,0.1149928688967858,Private Scholarship,Paid,1,4.0,8.0,6.0,108.0,136.0,150.0,2.0,0.0,2.0,2.0,42.0,18.0,394.0,4.0,0,0.02299857377935716,0.006052256257725568,0.00029112118708047034
98436,Computer Science,25.0,Female,3.79,0.2900638702998039,Student Loan,Deferred,1,8.0,10.0,6.0,182.0,173.0,187.0,1.0,3.0,3.0,-2.0,5.0,24.0,542.0,7.0,0,0.032229318922200434,0.011602554811992157,0.0005341876064453111
41591,Computer Science,19.0,Female,3.01,0.2752961586222428,Private Scholarship,Paid,1,3.0,10.0,6.0,85.0,191.0,118.0,3.0,0.0,2.0,3.0,33.0,19.0,394.0,5.0,0,0.0688240396555607,0.013764807931112141,0.0006969523003094756
53383,Business,19.0,Male,2.37,0.1868925602432576,Student Loan,Paid,1,3.0,4.0,6.0,98.0,107.0,143.0,1.0,0.0,1.0,3.0,45.0,13.0,348.0,2.0,0,0.0467231400608144,0.013349468588804115,0.0005355087686053226
14492,Computer Science,34.0,Female,2.46,0.0139795262412592,Federal Grant,Paid,1,5.0,7.0,2.0,118.0,140.0,61.0,0.0,1.0,0.0,-3.0,-57.0,14.0,319.0,1.0,0,0.0023299210402098667,0.0009319684160839466,4.3686019503934995e-05
99481,Arts,24.0,Female,3.29,0.184378622709351,No Aid,Delinquent,1,5.0,7.0,6.0,111.0,136.0,109.0,1.0,2.0,0.0,1.0,-2.0,18.0,356.0,3.0,0,0.0307297704515585,0.009704138037334262,0.000516466730278294
32767,Computer Science,34.0,Female,2.23,0.0602163298362969,Federal Grant,Paid,1,4.0,9.0,6.0,100.0,207.0,95.0,0.0,1.0,2.0,2.0,-5.0,19.0,402.0,3.0,0,0.01204326596725938,0.003010816491814845,0.0001494201732910593
80362,Computer Science,24.0,Male,2.09,0.19046011293055,No Aid,Paid,1,14.0,9.0,10.0,249.0,201.0,218.0,2.0,2.0,2.0,-4.0,-31.0,33.0,668.0,6.0,0,0.012697340862036667,0.005601768027369118,0.00028469374130127056
64873,Computer Science,31.0,Male,3.6,0.1271915372912583,Federal Grant,Paid,1,12.0,2.0,7.0,180.0,66.0,117.0,6.0,0.0,3.0,-5.0,-63.0,21.0,363.0,9.0,0,0.009783964407019868,0.005781433513239013,0.0003494273002507096
82562,Arts,21.0,Male,2.97,0.0267816749934894,Student Loan,Paid,1,7.0,5.0,8.0,168.0,123.0,216.0,0.0,1.0,3.0,1.0,48.0,20.0,507.0,4.0,0,0.003347709374186175,0.0012753178568328286,5.2719832664349215e-05
14643,Business,19.0,Female,3.7,0.0847103190778345,No Aid,Deferred,1,7.0,15.0,12.0,229.0,227.0,243.0,3.0,3.0,2.0,5.0,14.0,34.0,699.0,8.0,0,0.010588789884729312,0.0024202948307952715,0.00012101474153976357
20238,Mathematics,23.0,Male,3.9,0.0993607004762879,No Aid,Paid,1,7.0,5.0,4.0,134.0,101.0,123.0,1.0,0.0,0.0,-3.0,-11.0,16.0,358.0,1.0,0,0.012420087559535987,0.0058447470868404645,0.00027677075341584373
84146,Business,18.0,Male,2.91,0.0077651942834255,Federal Grant,Paid,1,3.0,13.0,11.0,74.0,205.0,188.0,0.0,2.0,2.0,8.0,114.0,27.0,467.0,4.0,0,0.001941298570856375,0.0002773283672651964,1.6592295477404913e-05
27635,Computer Science,17.0,Male,2.61,0.2815675223043053,Student Loan,Paid,1,7.0,8.0,5.0,211.0,249.0,156.0,0.0,1.0,3.0,-2.0,-55.0,20.0,616.0,4.0,0,0.035195940288038165,0.013407977252585968,0.0004563493068141091
97554,Arts,28.0,Female,2.74,0.6369332572581485,Federal Grant,Paid,0,7.0,4.0,7.0,182.0,77.0,144.0,2.0,0.0,1.0,0.0,-38.0,18.0,403.0,3.0,0,0.07961665715726857,0.03352280301358677,0.0015765674684607637
37607,Computer Science,19.0,Female,3.79,0.1180672225180523,Student Loan,Paid,1,6.0,10.0,4.0,120.0,194.0,99.0,2.0,2.0,1.0,-2.0,-21.0,20.0,413.0,5.0,0,0.016866746074007472,0.0056222486913358235,0.00028518652782138235
99820,Computer Science,19.0,Male,4.0,0.1459462826514108,Federal Grant,Paid,1,7.0,11.0,8.0,211.0,221.0,181.0,3.0,4.0,0.0,1.0,-30.0,26.0,613.0,7.0,0,0.01824328533142635,0.005405417875978178,0.00023769752874822604
