student_id,quarter,time_on_materials_min,logins,forum_posts
42289,Q2,246,12,5
42289,Q3,93,4,1
35400,Q1,151,5,1
35400,Q2,127,6,0
35400,Q3,214,10,1
95846,Q1,99,4,0
95846,Q2,114,6,0
95846,Q3,113,5,1
80958,Q1,189,12,2
80958,Q2,85,3,0
80958,Q3,163,5,3
49225,Q1,86,4,1
49225,Q2,146,7,1
49225,Q3,245,12,2
63869,Q1,197,7,1
63869,Q2,127,6,0
63869,Q3,102,5,2
91234,Q1,108,4,2
91234,Q2,136,8,0
91234,Q3,150,6,2
98436,Q1,182,8,1
98436,Q2,173,10,3
98436,Q3,187,6,3
41591,Q1,85,3,3
41591,Q2,191,10,0
41591,Q3,118,6,2
53383,Q1,98,3,1
53383,Q2,107,4,0
53383,Q3,143,6,1
14492,Q1,118,5,0
14492,Q2,140,7,1
14492,Q3,61,2,0
99481,Q1,111,5,1
99481,Q2,136,7,2
99481,Q3,109,6,0
32767,Q1,100,4,0
32767,Q2,207,9,1
32767,Q3,95,6,2
80362,Q1,249,14,2
80362,Q2,201,9,2
80362,Q3,218,10,2
64873,Q1,180,12,6
64873,Q2,66,2,0
64873,Q3,117,7,3
82562,Q1,168,7,0
82562,Q2,123,5,1
82562,Q3,216,8,3
14643,Q1,229,7,3
14643,Q2,227,15,3
14643,Q3,243,12,2
20238,Q1,134,7,1
20238,Q2,101,5,0
20238,Q3,123,4,0
84146,Q1,74,3,0
84146,Q2,205,13,2
84146,Q3,188,11,2
27635,Q1,211,7,0
27635,Q2,249,8,1
27635,Q3,156,5,3
97554,Q1,182,7,2
97554,Q2,77,4,0
97554,Q3,144,7,1
37607,Q1,120,6,2
37607,Q2,194,10,2
37607,Q3,99,4,1
99820,Q1,211,7,3
99820,Q2,221,11,4
99820,Q3,181,8,0
99034,Q1,134,7,2
99034,Q2,146,6,3
99034,Q3,97,4,1
15641,Q1,169,7,2
15641,Q2,219,12,2
15641,Q3,205,9,2
55407,Q1,193,7,3
55407,Q2,198,12,1
55407,Q3,169,7,2
77888,Q1,235,9,2
77888,Q2,104,5,2
77888,Q3,194,8,3
24085,Q1,235,8,1
24085,Q2,102,5,0
24085,Q3,170,10,4
68709,Q1,227,12,2
68709,Q2,58,3,0
68709,Q3,230,12,2
13233,Q1,172,11,4
13233,Q2,117,7,3
13233,Q3,208,9,4
20942,Q1,249,8,4
20942,Q2,226,12,5
20942,Q3,204,9,5
12913,Q1,116,4,5
12913,Q2,194,6,2
12913,Q3,168,6,3
59213,Q1,186,7,1
59213,Q2,76,2,0
59213,Q3,226,11,2
96952,Q1,195,9,4
96952,Q2,120,5,0
96952,Q3,120,4,1
40417,Q1,107,5,1
40417,Q2,142,5,0
40417,Q3,237,8,3
23393,Q1,180,7,2
23393,Q2,122,5,0
23393,Q3,71,3,1
92374,Q1,60,2,1
92374,Q2,111,4,1
92374,Q3,209,10,0
63650,Q1,207,8,4
63650,Q2,239,9,1
63650,Q3,141,9,6
73117,Q1,131,6,1
73117,Q2,80,5,0
73117,Q3,139,6,3
39366,Q1,213,7,1
39366,Q2,124,6,2
39366,Q3,99,4,1
99179,Q1,219,14,2
99179,Q2,235,8,2
99179,Q3,119,5,2
44938,Q1,235,8,1
44938,Q2,71,3,2
44938,Q3,153,5,0
29794,Q1,90,3,5
29794,Q2,169,9,0
29794,Q3,234,8,1
42051,Q1,235,14,2
42051,Q2,121,6,2
42051,Q3,125,5,0
90630,Q1,130,7,2
90630,Q2,56,2,1
90630,Q3,118,6,0
62103,Q1,178,8,1
62103,Q2,192,6,5
62103,Q3,83,3,0
82344,Q1,155,8,0
82344,Q2,245,11,4
82344,Q3,200,8,2
71225,Q1,224,11,2
71225,Q2,166,7,0
71225,Q3,163,10,2
61396,Q1,73,3,1
61396,Q2,213,8,7
61396,Q3,127,6,0
25463,Q1,174,7,2
25463,Q2,161,7,2
25463,Q3,56,3,1
38021,Q1,214,13,2
38021,Q2,103,3,0
38021,Q3,216,7,2
64809,Q1,154,5,0
64809,Q2,217,12,2
64809,Q3,68,3,1
70967,Q1,179,7,1
70967,Q2,227,15,1
70967,Q3,227,8,3
99196,Q1,208,8,3
99196,Q2,74,2,1
99196,Q3,196,10,3
43101,Q1,166,6,0
43101,Q2,226,9,0
43101,Q3,152,7,2
70547,Q1,55,1,0
70547,Q2,112,4,1
70547,Q3,64,3,0
38863,Q1,73,3,1
38863,Q2,127,4,0
38863,Q3,109,5,1
58059,Q1,248,14,7
58059,Q2,63,2,0
58059,Q3,180,8,2
36871,Q1,117,5,1
36871,Q2,199,11,1
36871,Q3,187,8,2
58647,Q1,105,4,2
58647,Q2,107,4,1
58647,Q3,246,16,1
94492,Q1,156,7,1
94492,Q2,121,5,1
94492,Q3,120,4,3
81020,Q1,139,4,1
81020,Q2,118,4,1
81020,Q3,243,9,2
95873,Q1,83,3,2
95873,Q2,191,11,4
95873,Q3,50,2,2
49755,Q1,140,5,4
49755,Q2,155,10,2
49755,Q3,191,8,0
45412,Q1,148,7,3
45412,Q2,73,4,1
45412,Q3,220,7,4
33313,Q1,190,10,5
33313,Q2,221,13,6
33313,Q3,69,4,1
11956,Q1,169,9,0
11956,Q2,198,8,2
11956,Q3,83,4,0
65703,Q1,114,4,3
65703,Q2,196,7,2
65703,Q3,196,6,1
22725,Q1,130,4,3
22725,Q2,99,4,4
22725,Q3,111,5,1
21930,Q1,127,8,0
21930,Q2,66,4,0
21930,Q3,65,4,0
26898,Q1,122,8,3
26898,Q2,78,4,2
26898,Q3,217,12,2
39459,Q1,163,8,4
39459,Q2,95,3,3
39459,Q3,128,7,1
69329,Q1,139,8,1
69329,Q2,62,3,2
69329,Q3,157,10,3
63904,Q1,127,4,0
63904,Q2,174,7,2
63904,Q3,190,7,2
46829,Q1,88,4,2
46829,Q2,213,11,1
46829,Q3,226,8,3
70168,Q1,178,11,0
70168,Q2,133,4,1
70168,Q3,219,7,3
66346,Q1,80,3,1
66346,Q2,123,8,0
66346,Q3,61,3,2
38046,Q1,231,9,2
38046,Q2,140,7,1
38046,Q3,166,11,3
17726,Q1,135,6,1
17726,Q2,199,11,3
17726,Q3,192,12,4
67945,Q1,210,12,3
67945,Q2,248,11,2
67945,Q3,151,6,3
49848,Q1,162,8,0
49848,Q2,124,6,0
49848,Q3,216,8,1
11738,Q1,162,6,2
11738,Q2,91,5,0
11738,Q3,113,4,2
82924,Q1,103,3,1
82924,Q2,204,13,2
82924,Q3,185,7,1
70316,Q1,191,8,0
70316,Q2,71,4,1
70316,Q3,110,5,1
49964,Q1,223,11,3
49964,Q2,244,9,4
49964,Q3,145,7,3
26269,Q1,144,6,2
26269,Q2,59,2,0
26269,Q3,214,7,2
50622,Q1,87,3,1
50622,Q2,235,9,2
50622,Q3,200,8,2
53485,Q1,68,2,0
53485,Q2,207,8,2
53485,Q3,202,10,2
44917,Q1,82,5,1
44917,Q2,110,4,1
44917,Q3,93,3,0
54806,Q1,213,7,2
54806,Q2,71,3,1
54806,Q3,153,8,2
55442,Q1,243,9,4
55442,Q2,156,8,0
55442,Q3,66,2,0
44144,Q1,149,7,1
44144,Q2,112,6,1
44144,Q3,248,14,0
64744,Q1,235,8,2
64744,Q2,179,6,2
64744,Q3,173,7,0
58914,Q1,180,12,1
58914,Q2,82,5,1
58914,Q3,89,3,3
41091,Q1,115,7,3
41091,Q2,80,5,3
41091,Q3,149,5,0
18774,Q1,206,9,0
18774,Q2,180,8,2
18774,Q3,139,5,2
71060,Q1,54,2,0
71060,Q2,170,7,1
71060,Q3,145,6,1
77327,Q1,68,2,0
77327,Q2,79,4,0
77327,Q3,111,4,1
23800,Q1,88,4,0
23800,Q2,231,7,4
23800,Q3,231,12,1
21796,Q1,96,5,1
21796,Q2,220,11,4
21796,Q3,89,4,1
76289,Q1,87,3,1
76289,Q2,144,6,2
76289,Q3,180,10,1
71412,Q1,199,8,1
71412,Q2,181,6,0
71412,Q3,214,7,4
89247,Q1,211,12,2
89247,Q2,226,7,3
89247,Q3,193,7,3
74545,Q1,201,9,2
74545,Q2,139,9,1
74545,Q3,108,6,1
25351,Q1,197,13,1
25351,Q2,214,8,0
25351,Q3,158,8,1
90970,Q1,230,9,3
90970,Q2,226,14,2
90970,Q3,59,2,0
32657,Q1,160,5,1
32657,Q2,241,8,0
32657,Q3,199,6,2
81298,Q1,96,6,0
81298,Q2,64,2,0
81298,Q3,123,7,0
78298,Q1,116,4,1
78298,Q2,106,3,0
78298,Q3,163,10,0
53615,Q1,113,7,0
53615,Q2,225,9,3
53615,Q3,143,5,1
33692,Q1,177,9,1
33692,Q2,247,14,1
33692,Q3,100,5,1
38665,Q1,104,5,0
38665,Q2,188,12,2
38665,Q3,82,3,1
10347,Q1,86,3,1
10347,Q2,239,11,0
10347,Q3,213,7,2
79068,Q1,88,3,2
79068,Q2,88,4,1
79068,Q3,54,2,0
65057,Q1,107,5,2
65057,Q2,165,6,1
65057,Q3,246,12,2
75243,Q1,202,8,3
75243,Q2,169,8,1
75243,Q3,98,6,1
48290,Q1,109,6,1
48290,Q2,53,3,0
48290,Q3,102,4,3
80723,Q1,167,6,1
80723,Q2,193,12,6
80723,Q3,121,7,2
36779,Q1,138,6,3
36779,Q2,140,7,2
36779,Q3,176,9,3
13242,Q1,110,4,2
13242,Q2,84,3,2
13242,Q3,60,4,1
27146,Q1,239,9,3
27146,Q2,218,9,6
27146,Q3,230,15,2
90328,Q1,111,6,3
90328,Q2,193,8,2
90328,Q3,103,4,1
80890,Q1,50,2,1
80890,Q2,50,2,0
80890,Q3,203,8,2
51636,Q1,67,3,0
51636,Q2,93,5,1
51636,Q3,112,7,1
55230,Q1,107,4,2
55230,Q2,226,8,2
55230,Q3,101,3,0
27436,Q1,152,8,1
27436,Q2,169,9,1
27436,Q3,91,5,2
89840,Q1,110,3,5
89840,Q2,84,5,0
89840,Q3,219,7,3
39551,Q1,193,7,4
39551,Q2,98,5,3
39551,Q3,171,7,1
89017,Q1,163,9,1
89017,Q2,169,10,2
89017,Q3,77,2,0
22950,Q1,221,8,1
22950,Q2,219,14,4
22950,Q3,227,11,1
99803,Q1,145,8,0
99803,Q2,127,8,0
99803,Q3,136,5,0
54167,Q1,71,2,0
54167,Q2,61,2,0
54167,Q3,92,5,1
67322,Q1,153,5,2
67322,Q2,58,2,0
67322,Q3,90,3,1
58782,Q1,117,4,1
58782,Q2,147,7,1
58782,Q3,105,7,1
81791,Q1,115,4,2
81791,Q2,161,6,0
81791,Q3,173,11,2
25644,Q1,176,7,1
25644,Q2,163,5,1
25644,Q3,55,2,0
18768,Q1,214,8,0
18768,Q2,91,6,0
18768,Q3,131,8,0
34585,Q1,194,11,4
34585,Q2,192,6,2
34585,Q3,138,4,3
12449,Q1,208,9,4
12449,Q2,131,4,1
12449,Q3,126,5,0
89005,Q1,227,8,3
89005,Q2,122,7,1
89005,Q3,62,2,1
42480,Q1,88,4,2
42480,Q2,125,7,2
42480,Q3,134,6,1
58027,Q1,161,8,1
58027,Q2,179,9,0
58027,Q3,76,4,0
58488,Q1,238,9,4
58488,Q2,134,5,2
58488,Q3,204,12,3
60059,Q1,141,7,0
60059,Q2,129,6,3
60059,Q3,61,2,1
54718,Q1,59,2,1
54718,Q2,190,8,2
54718,Q3,193,6,3
40405,Q1,240,14,2
40405,Q2,143,6,0
40405,Q3,119,7,2
24956,Q1,238,15,4
24956,Q2,64,3,1
24956,Q3,87,4,3
86085,Q1,154,10,1
86085,Q2,52,2,0
86085,Q3,155,8,2
84891,Q1,53,2,1
84891,Q2,178,7,3
84891,Q3,84,4,1
24904,Q1,187,10,1
24904,Q2,202,6,0
24904,Q3,95,3,1
72033,Q1,142,6,2
72033,Q2,152,6,1
72033,Q3,205,12,0
97418,Q1,178,7,2
97418,Q2,55,1,1
97418,Q3,149,5,0
55191,Q1,168,7,0
55191,Q2,71,3,1
55191,Q3,108,5,1
61637,Q1,201,13,4
61637,Q2,211,13,2
61637,Q3,243,9,3
77341,Q1,225,8,2
77341,Q2,66,2,0
77341,Q3,100,6,2
70826,Q1,97,4,0
70826,Q2,168,7,1
70826,Q3,146,8,3
73661,Q1,157,5,0
73661,Q2,72,2,0
73661,Q3,174,7,2
33011,Q1,147,5,2
33011,Q2,146,9,2
33011,Q3,128,6,0
28775,Q1,115,4,2
28775,Q2,226,15,0
28775,Q3,154,6,2
92319,Q1,211,8,4
92319,Q2,86,3,1
92319,Q3,86,4,2
61139,Q1,105,5,1
61139,Q2,88,3,0
61139,Q3,142,6,2
77540,Q1,144,9,3
77540,Q2,139,8,1
77540,Q3,131,8,0
26774,Q1,210,9,1
26774,Q2,58,2,0
26774,Q3,99,4,1
34735,Q1,217,9,4
34735,Q2,228,8,4
34735,Q3,147,6,0
34135,Q1,62,2,1
34135,Q2,81,5,0
34135,Q3,147,8,1
17652,Q1,109,5,3
17652,Q2,75,3,0
17652,Q3,87,3,2
81553,Q1,158,5,3
81553,Q2,88,3,1
81553,Q3,116,6,0
59219,Q1,53,1,1
59219,Q2,237,8,3
59219,Q3,146,5,5
26253,Q1,63,2,0
26253,Q2,68,4,1
26253,Q3,173,6,2
57699,Q1,150,8,1
57699,Q2,244,9,7
57699,Q3,89,3,1
61791,Q1,235,15,3
61791,Q2,175,8,3
61791,Q3,188,9,1
72454,Q1,196,7,0
72454,Q2,57,2,1
72454,Q3,207,12,1
67337,Q1,170,6,2
67337,Q2,67,4,0
67337,Q3,179,6,2
59878,Q1,223,13,3
59878,Q2,108,4,1
59878,Q3,145,7,0
45387,Q1,212,7,3
45387,Q2,83,2,2
45387,Q3,98,3,1
96459,Q1,188,11,1
96459,Q2,214,9,2
96459,Q3,238,12,5
62255,Q1,52,2,2
62255,Q2,109,4,1
62255,Q3,114,3,2
32919,Q1,233,10,5
32919,Q2,159,9,1
32919,Q3,58,3,0
81773,Q1,228,14,1
81773,Q2,73,3,2
81773,Q3,161,9,0
80682,Q1,158,5,1
80682,Q2,182,10,1
80682,Q3,232,9,2
16423,Q1,60,3,2
16423,Q2,140,7,2
16423,Q3,80,3,1
79901,Q1,153,9,0
79901,Q2,165,7,0
79901,Q3,104,4,1
50946,Q1,163,6,1
50946,Q2,145,6,0
50946,Q3,211,9,4
87540,Q1,51,2,0
87540,Q2,249,13,2
87540,Q3,163,6,2
52004,Q1,52,2,0
52004,Q2,160,7,1
52004,Q3,93,4,1
74882,Q1,221,9,2
74882,Q2,241,8,4
74882,Q3,223,7,5
20213,Q1,147,5,3
20213,Q2,51,1,1
20213,Q3,189,11,3
31907,Q1,210,9,1
31907,Q2,70,3,0
31907,Q3,190,9,2
25990,Q1,232,13,2
25990,Q2,95,3,2
25990,Q3,183,10,1
27713,Q1,146,9,0
27713,Q2,184,12,2
27713,Q3,121,7,2
57778,Q1,126,5,3
57778,Q2,229,7,4
57778,Q3,116,4,1
68713,Q1,113,4,0
68713,Q2,63,3,0
68713,Q3,77,2,1
43652,Q1,151,7,1
43652,Q2,221,8,2
43652,Q3,207,12,2
12946,Q1,213,8,2
12946,Q2,153,5,3
12946,Q3,214,12,6
60148,Q1,124,4,1
60148,Q2,78,3,0
60148,Q3,129,7,1
42056,Q1,144,8,3
42056,Q2,160,6,1
42056,Q3,227,9,2
16009,Q1,218,10,2
16009,Q2,244,16,0
16009,Q3,234,9,2
28600,Q1,187,12,2
28600,Q2,105,4,1
28600,Q3,222,10,3
93598,Q1,166,11,0
93598,Q2,72,2,0
93598,Q3,180,8,1
62925,Q1,196,8,4
62925,Q2,231,14,5
62925,Q3,118,5,1
61120,Q1,232,9,1
61120,Q2,110,3,1
61120,Q3,125,5,1
44430,Q1,197,7,1
44430,Q2,178,7,0
44430,Q3,56,2,2
14413,Q1,67,3,2
14413,Q2,75,3,0
14413,Q3,208,10,1
37123,Q1,133,5,0
37123,Q2,162,9,3
37123,Q3,129,5,0
39389,Q1,128,5,1
39389,Q2,241,15,5
39389,Q3,105,6,0
54019,Q1,166,8,1
54019,Q2,174,9,3
54019,Q3,178,9,1
48504,Q1,191,6,1
48504,Q2,212,9,3
48504,Q3,213,8,0
48387,Q1,79,4,0
48387,Q2,246,14,3
48387,Q3,197,13,0
93823,Q1,72,4,0
93823,Q2,99,6,0
93823,Q3,181,7,2
91379,Q1,189,8,3
91379,Q2,184,10,5
91379,Q3,54,2,0
37819,Q1,83,4,1
37819,Q2,136,8,1
37819,Q3,152,5,0
13580,Q1,102,5,2
13580,Q2,230,10,3
13580,Q3,106,4,3
47881,Q1,147,7,1
47881,Q2,204,8,2
47881,Q3,81,4,0
89375,Q1,133,7,2
89375,Q2,220,12,5
89375,Q3,52,2,2
40223,Q1,139,5,3
40223,Q2,232,9,3
40223,Q3,236,12,1
20930,Q1,154,7,3
20930,Q2,225,15,2
20930,Q3,163,10,0
28365,Q1,229,14,0
28365,Q2,151,8,1
28365,Q3,205,10,1
96025,Q1,188,6,2
96025,Q2,162,8,4
96025,Q3,142,5,2
12320,Q1,244,11,2
12320,Q2,232,9,4
12320,Q3,143,4,0
62240,Q1,247,9,0
62240,Q2,242,10,2
62240,Q3,208,9,2
36031,Q1,222,9,1
36031,Q2,62,4,0
36031,Q3,96,3,1
66315,Q1,238,12,0
66315,Q2,224,9,0
66315,Q3,238,11,4
48803,Q1,237,15,1
48803,Q2,161,8,1
48803,Q3,108,4,0
36985,Q1,188,10,0
36985,Q2,91,3,0
36985,Q3,125,5,1
94753,Q1,104,6,1
94753,Q2,157,8,1
94753,Q3,103,6,3
49295,Q1,142,9,2
49295,Q2,246,10,3
49295,Q3,97,3,1
62391,Q1,143,5,2
62391,Q2,227,9,1
62391,Q3,110,6,1
88174,Q1,88,3,1
88174,Q2,202,10,2
88174,Q3,147,7,3
19830,Q1,213,11,3
19830,Q2,237,15,4
19830,Q3,155,7,1
13319,Q1,83,4,1
13319,Q2,248,9,6
13319,Q3,127,6,1
66932,Q1,184,7,2
66932,Q2,106,4,2
66932,Q3,215,9,0
52552,Q1,66,2,1
52552,Q2,81,5,1
52552,Q3,229,8,1
10980,Q1,198,10,0
10980,Q2,211,8,3
10980,Q3,106,6,0
72991,Q1,119,4,1
72991,Q2,244,16,2
72991,Q3,217,14,2
56549,Q1,242,8,4
56549,Q2,230,8,5
56549,Q3,72,2,0
75405,Q1,71,2,0
75405,Q2,172,8,1
75405,Q3,161,9,1
74861,Q1,165,8,2
74861,Q2,97,4,1
74861,Q3,80,3,0
78432,Q1,231,15,2
78432,Q2,174,7,4
78432,Q3,100,3,3
35713,Q1,191,7,2
35713,Q2,114,6,0
35713,Q3,138,5,6
13803,Q1,209,9,0
13803,Q2,197,9,2
13803,Q3,199,7,2
37998,Q1,129,6,3
37998,Q2,165,5,1
37998,Q3,212,10,7
77304,Q1,214,9,4
77304,Q2,213,10,2
77304,Q3,218,12,5
40065,Q1,51,2,1
40065,Q2,96,4,1
40065,Q3,106,5,1
57572,Q1,97,4,2
57572,Q2,199,7,4
57572,Q3,157,5,1
48857,Q1,228,9,3
48857,Q2,92,3,0
48857,Q3,53,2,1
58832,Q1,66,3,1
58832,Q2,91,6,0
58832,Q3,151,5,0
84183,Q1,144,4,2
84183,Q2,65,2,1
84183,Q3,62,2,0
41029,Q1,143,8,2
41029,Q2,170,10,1
41029,Q3,244,12,2
22396,Q1,207,9,1
22396,Q2,138,6,3
22396,Q3,207,9,4
46805,Q1,124,6,2
46805,Q2,93,4,0
46805,Q3,233,11,1
94633,Q1,68,2,1
94633,Q2,232,9,3
94633,Q3,226,8,2
50064,Q1,194,11,3
50064,Q2,80,3,1
50064,Q3,60,2,0
50341,Q1,93,6,0
50341,Q2,84,4,2
50341,Q3,92,4,0
52209,Q1,71,3,1
52209,Q2,106,4,3
52209,Q3,80,4,1
77569,Q1,52,2,0
77569,Q2,129,6,1
77569,Q3,53,3,1
26424,Q1,58,2,0
26424,Q2,190,9,1
26424,Q3,127,8,1
27575,Q1,124,8,1
27575,Q2,218,13,4
27575,Q3,96,5,2
87279,Q1,89,3,0
87279,Q2,146,7,2
87279,Q3,228,11,3
72724,Q1,232,15,0
72724,Q2,119,4,2
72724,Q3,137,6,1
45077,Q1,165,7,1
45077,Q2,190,10,1
45077,Q3,208,8,3
51523,Q1,182,9,1
51523,Q2,233,12,2
51523,Q3,151,7,0
90776,Q1,96,4,3
90776,Q2,140,9,6
90776,Q3,162,7,2
88141,Q1,188,7,1
88141,Q2,222,8,3
88141,Q3,92,6,2
76792,Q1,227,14,4
76792,Q2,211,11,3
76792,Q3,162,7,3
52791,Q1,119,7,1
52791,Q2,174,10,1
52791,Q3,118,5,1
43753,Q1,200,8,0
43753,Q2,95,3,2
43753,Q3,97,4,0
30985,Q1,111,4,1
30985,Q2,87,3,0
30985,Q3,99,3,2
68991,Q1,129,6,1
68991,Q2,173,6,1
68991,Q3,247,16,1
14881,Q1,138,5,1
14881,Q2,208,9,2
14881,Q3,68,3,2
42011,Q1,236,9,1
42011,Q2,66,2,0
42011,Q3,218,13,2
24041,Q1,188,7,2
24041,Q2,162,6,2
24041,Q3,115,6,0
99091,Q1,107,6,3
99091,Q2,65,2,0
99091,Q3,93,3,0
66939,Q1,156,9,2
66939,Q2,67,2,0
66939,Q3,58,3,0
25697,Q1,222,9,2
